AID#,Orig pre-sprted Order,Grant #,Assay Name,Assay Target,Assay Sub-type,Assay Center,Grant Title,Assay Provider,Project UID,summary_aid_and_NA,summary_aid
714,,MH076382-01,HTS for BAP1 Enzyme inhibitors (AID 436) (AID 714) (AID 753),Primary,--,Emory,HTS Assay for Inhibitors of BAP1 a BRCA1 associated Deubiquitinating Enzyme,Keith Wilkinson,41,#N/A,
753,,MH076382-01,HTS for BAP1 Enzyme inhibitors (AID 436) (AID 714) (AID 753),Primary,--,Emory,HTS Assay for Inhibitors of BAP1 a BRCA1 associated Deubiquitinating Enzyme,Keith Wilkinson,41,#N/A,
753,,MH076382-01,BAP1 Enzyme inhibitors secondary assay confirmation (AID 753),Secondary,--,Emory,HTS Assay for Inhibitors of BAP1 a BRCA1 associated Deubiquitinating Enzyme,Keith Wilkinson,41,#N/A,
422,,MH076385-01,HTS for 14-3-3 protein interaction modulators (AID 422) (AID 711),Primary,--,Emory,AlphaScreen technology for high throughput screening of 14-3-3/Raf-1 disrupters,Haian Fu,42,#N/A,
711,,MH076385-01,HTS for 14-3-3 protein interaction modulators (AID 422) (AID 711),Primary,--,Emory,AlphaScreen technology for high throughput screening of 14-3-3/Raf-1 disrupters,Haian Fu,42,#N/A,
781,,MH076385-01,uHTS for 14-3-3/Bad interaction inhibitors (AID 781),Primary,--,Emory,AlphaScreen technology for high throughput screening of 14-3-3/Raf-1 disrupters,Haian Fu,43,#N/A,
429,,MH076499-01,HTS for Tumor Hsp90 Inhibitors (AID 429) (AID 712) (AID 754),Primary,--,Emory,FP Assay for Isolation of Hsp90 Inhibitors,Gabriela Chiosis,44,#N/A,
712,,MH076499-01,HTS for Tumor Hsp90 Inhibitors (AID 429) (AID 712) (AID 754),Primary,--,Emory,FP Assay for Isolation of Hsp90 Inhibitors,Gabriela Chiosis,44,#N/A,
754,,MH076499-01,HTS for Tumor Hsp90 Inhibitors (AID 429) (AID 712) (AID 754),Primary,--,Emory,FP Assay for Isolation of Hsp90 Inhibitors,Gabriela Chiosis,44,#N/A,
754,,MH076499-01,Cell-based secondary assay for identifying Hsp90 inhibitors that degrade Hsp90 client protein Her2 (AID 754),Secondary,--,Emory,FP Assay for Isolation of Hsp90 Inhibitors,Gabriela Chiosis,44,#N/A,
547,,MH077612-01,HTS for inhibitors of bacterial DnaK (AID 547),Primary,--,Emory,Development of a HTS assay for Inhibitors of bacterial DnaK,Michael Sturgess,45,#N/A,
732,,MH077629-01,In Vivo Angiogenesis Assay for HTS (AID 732) (AID 801),Primary,--,Emory,In Vivo Angiogenesis Assay for HTS,Thanh Doan,46,#N/A,
801,,MH077629-01,In Vivo Angiogenesis Assay for HTS (AID 732) (AID 801),Primary,--,Emory,In Vivo Angiogenesis Assay for HTS,Thanh Doan,46,#N/A,
630,,MH078945-01,HTS of Smad transcription factor inhibitors (AID 630) (AID 715),Primary,--,Emory,Targeting a Protein Interaction Site on Smad Transcription Factors,Michael Hoffmann,47,#N/A,
715,,MH078945-01,HTS of Smad transcription factor inhibitors (AID 630) (AID 715),Primary,--,Emory,Targeting a Protein Interaction Site on Smad Transcription Factors,Michael Hoffmann,47,#N/A,
629,,MH078953-01,HTS of Estrogen Receptor- alpha Coactivator Binding inhibitors to Block Estrogen Action (AID 629) (AID 713),Primary,--,Emory,Screen for Coactivator Binding Inhibitors to Block Estrogen Action,John Katzenellenbogen,48,#N/A,
713,,MH078953-01,HTS of Estrogen Receptor- alpha Coactivator Binding inhibitors to Block Estrogen Action (AID 629) (AID 713),Primary,--,Emory,Screen for Coactivator Binding Inhibitors to Block Estrogen Action,John Katzenellenbogen,48,#N/A,
639,,MH078953-01,HTS of Estrogen Receptor- alpha Coactivator Binding Potentiators (AID 639) (AID 737),Primary,--,Emory,Screen for Coactivator Binding Inhibitors to Block Estrogen Action,John Katzenellenbogen,49,#N/A,
737,,MH078953-01,HTS of Estrogen Receptor- alpha Coactivator Binding Potentiators (AID 639) (AID 737),Primary,--,Emory,Screen for Coactivator Binding Inhibitors to Block Estrogen Action,John Katzenellenbogen,49,#N/A,
633,,MH078953-01,HTS for Estrogen Receptor-beta Coactivator Binding inhibitors (AID 633) (AID 733),Primary,--,Emory,Screen for Coactivator Binding Inhibitors to Block Estrogen Action,John Katzenellenbogen,50,#N/A,
733,,MH078953-01,HTS for Estrogen Receptor-beta Coactivator Binding inhibitors (AID 633) (AID 733),Primary,--,Emory,Screen for Coactivator Binding Inhibitors to Block Estrogen Action,John Katzenellenbogen,50,#N/A,
817,,MH079865-01,Drug Discovery for Bone Marrow Failure Diseases (AID 817),Primary,--,Emory,Drug Discovery for Bone Marrow Failure Diseases,Paul De Figueiredo,51,#N/A,
949,,MH079865-01,Drug Discovery for Bone Marrow Failure Diseases (AID 817),Primary,--,Emory,Drug Discovery for Bone Marrow Failure Diseases,Paul De Figueiredo,51,#N/A,
463208,,MH079865-01,"Small molecule inhibition of yeast nuclear extract HDAC activity, in vitro, in dose",Secondary,--,Emory,Drug Discovery for Bone Marrow Failure Diseases,Paul De Figueiredo,51,#N/A,
815,,MH080836-01,EC50 and cytotoxicity characterization of measles virus probes (AID 815),Secondary,--,Emory,High Throughput Screening-Based Identification of Measles Virus Probes,Richard Plemper,52,#N/A,
815,,MH080836-01,Non-Nucleoside Inhibitor of Measles Virus RNA-Dependent RNA Polymerase Complex Activity HTS Single Point (MLSMR Library) (AID 841) (AID 815),Primary,--,Emory,High Throughput Screening-Based Identification of Measles Virus Probes,Richard Plemper,52,#N/A,
841,,MH080836-01,Non-Nucleoside Inhibitor of Measles Virus RNA-Dependent RNA Polymerase Complex Activity HTS Single Point (MLSMR Library) (AID 841) (AID 815),Primary,--,Emory,High Throughput Screening-Based Identification of Measles Virus Probes,Richard Plemper,52,#N/A,
782,,MH081216-01,uHTS for Small Molecule Inhibitors of Eukaryotic Translation Initiation (AID 782) (AID 855),Primary,--,Emory,Screening for Small Molecule Inhibitors of Eukaryotic Translation Initiation,Jerry Pelletier,53,#N/A,
855,,MH081216-01,uHTS for Small Molecule Inhibitors of Eukaryotic Translation Initiation (AID 782) (AID 855),Primary,--,Emory,Screening for Small Molecule Inhibitors of Eukaryotic Translation Initiation,Jerry Pelletier,53,#N/A,
1011,,MH076449-01,Schistosoma Mansoni Peroxiredoxin Inhibitors (Prx2+TGR) (AID 448) (AID 1011),Primary,--,NCGC,HTS for Inhibitors of Schistosoma Mansoni Peroxiredoxins,David Williams,57,#N/A,
596,,MH077621-01,qHTS Assay for Tau Filament Binding (AID 596) (AID 911) (AID 937) (AID 956) (AID 991),Primary,--,NCGC,Ligands for premortem diagnosis and treatment of Alzheimer's disease,Jeff Kuret,59,#N/A,
911,,MH077621-01,qHTS Assay for Tau Filament Binding (AID 596) (AID 911) (AID 937) (AID 956) (AID 991),Primary,--,NCGC,Ligands for premortem diagnosis and treatment of Alzheimer's disease,Jeff Kuret,59,#N/A,
911,,MH077621-01,Tau ThS binding assay (AID 911),Secondary,--,NCGC,Ligands for premortem diagnosis and treatment of Alzheimer's disease,Jeff Kuret,59,#N/A,
937,,MH077621-01,Alpha-synuclein ThS binding assay (AID 937),Secondary,--,NCGC,Ligands for premortem diagnosis and treatment of Alzheimer's disease,Jeff Kuret,59,#N/A,
937,,MH077621-01,qHTS Assay for Tau Filament Binding (AID 596) (AID 911) (AID 937) (AID 956) (AID 991),Primary,--,NCGC,Ligands for premortem diagnosis and treatment of Alzheimer's disease,Jeff Kuret,59,#N/A,
956,,MH077621-01,Beta amyloid ThS binding assay (AID 956),Secondary,--,NCGC,Ligands for premortem diagnosis and treatment of Alzheimer's disease,Jeff Kuret,59,#N/A,
956,,MH077621-01,qHTS Assay for Tau Filament Binding (AID 596) (AID 911) (AID 937) (AID 956) (AID 991),Primary,--,NCGC,Ligands for premortem diagnosis and treatment of Alzheimer's disease,Jeff Kuret,59,#N/A,
991,,MH077621-01,qHTS Assay for Tau Filament Binding (AID 596) (AID 911) (AID 937) (AID 956) (AID 991),Primary,--,NCGC,Ligands for premortem diagnosis and treatment of Alzheimer's disease,Jeff Kuret,59,#N/A,
991,,MH077621-01,Tau Fibrillization assay (AID 991),Secondary,--,NCGC,Ligands for premortem diagnosis and treatment of Alzheimer's disease,Jeff Kuret,59,#N/A,
595,,MH077625-01,qHTS Assay for Disrupters of an Hsp90 Co-Chaperone Interaction (AID 595) (AID 632),Primary,--,NCGC,Identifying novel Hsp90 inhibitors by disrupting its cochaperone interaction using an AlphaScreen based high throughput screening assay,Fang Yi,60,#N/A,
632,,MH077625-01,Confirmation Concentration-Response Assay and Counterscreen for Disrupters of an Hsp90 Co-Chaperone Interaction (AID 632),Secondary,--,NCGC,Identifying novel Hsp90 inhibitors by disrupting its cochaperone interaction using an AlphaScreen based high throughput screening assay,Fang Yi,60,#N/A,
632,,MH077625-01,qHTS Assay for Disrupters of an Hsp90 Co-Chaperone Interaction (AID 595) (AID 632),Primary,--,NCGC,Identifying novel Hsp90 inhibitors by disrupting its cochaperone interaction using an AlphaScreen based high throughput screening assay,Fang Yi,60,#N/A,
603,,MH077636-01,qHTS Assay for Inhibitors of DNA Polymerase III Holoenzyme System - Primase (AID 603),Primary,--,NCGC,Conducting a HTS against a Multi-protein DNA Replication System,Charles Mchenry,61,#N/A,
603,,MH077636-01,qHTS Assay for Inhibitors of DNA Polymerase III Holoenzyme System - Polymerase (AID 603),Primary,--,NCGC,Conducting a HTS against a Multi-protein DNA Replication System,Charles Mchenry,62,#N/A,
348,,MH078932-01,Glucocerebrosidase-p2 (AID 348),Secondary,--,NCGC,HTS for Identification of Glucocerebrosidase Activators and Inhibitors as Pharmacological Chaperones for the Potential Treatment of Gaucher Disease,Wei Zheng,63,#N/A,
360,,MH078932-01,Glucocerebrosidase (AID 360) (AID 992) (AID 997) (AID 957) (AID 998) (AID 348),Primary,--,NCGC,HTS for Identification of Glucocerebrosidase Activators and Inhibitors as Pharmacological Chaperones for the Potential Treatment of Gaucher Disease,Wei Zheng,63,#N/A,
957,,MH078932-01,Counterscreen for Glucocerebrosidase Inhibitors: qHTS Assay for Coffee Bean alpha-Galactosidase at pH 4.5 (AID 957),Secondary,--,NCGC,HTS for Identification of Glucocerebrosidase Activators and Inhibitors as Pharmacological Chaperones for the Potential Treatment of Gaucher Disease,Wei Zheng,63,#N/A,
992,,MH078932-01,Counterscreen for Glucocerebrosidase Inhibitors: qHTS Assay for Human alpha-Galactosidase at pH 4.5 (AID 992),Secondary,--,NCGC,HTS for Identification of Glucocerebrosidase Activators and Inhibitors as Pharmacological Chaperones for the Potential Treatment of Gaucher Disease,Wei Zheng,63,#N/A,
997,,MH078932-01,Counterscreen for Glucocerebrosidase Inhibitors: qHTS Assay for Rice alpha-Glucosidase at pH 5.0 (AID 997),Secondary,--,NCGC,HTS for Identification of Glucocerebrosidase Activators and Inhibitors as Pharmacological Chaperones for the Potential Treatment of Gaucher Disease,Wei Zheng,63,#N/A,
998,,MH078932-01,Counterscreen for Glucocerebrosidase Inhibitors: qHTS Assay for Coffee Bean alpha-Galactosidase at pH 5.9 (AID 998),Secondary,--,NCGC,HTS for Identification of Glucocerebrosidase Activators and Inhibitors as Pharmacological Chaperones for the Potential Treatment of Gaucher Disease,Wei Zheng,63,#N/A,
1393,,MH078932-01,Glucocerebrosidase (AID 360) (AID 992) (AID 997) (AID 957) (AID 998) (AID 348),Primary,--,NCGC,HTS for Identification of Glucocerebrosidase Activators and Inhibitors as Pharmacological Chaperones for the Potential Treatment of Gaucher Disease,Wei Zheng,63,1393,1393
445,,MH078957-01,IkB Signaling (AID 445) (AID 895) (AID 526),Primary,--,NCGC,Identification of lkappaBalpha Stabilizers in a Human Lymphoma Cell Line Using A Two-Color Luciferase Based Cell Sensor Assay,Douglas Auld,64,#N/A,
526,,MH078957-01,Ubiquitin-GFP Assay (AID 526),Secondary,--,NCGC,Identification of lkappaBalpha Stabilizers in a Human Lymphoma Cell Line Using A Two-Color Luciferase Based Cell Sensor Assay,Douglas Auld,64,#N/A,
895,,MH078957-01,qHTS Assay for Identification of Small Molecule Antagonists for NFkB Signaling Pathway (AID 895),Secondary,--,NCGC,Identification of lkappaBalpha Stabilizers in a Human Lymphoma Cell Line Using A Two-Color Luciferase Based Cell Sensor Assay,Douglas Auld,64,#N/A,
584,,MH079825-01,Promiscuous and Specific Inhibitors of AmpC Beta-Lactamase (assay with detergent) (AID 584) (AID 1002) (AID 585) (AID 1003),Primary,--,NCGC,Promiscuous and Specific Inhibitors of B-lactamase,Brian Shoichet,65,#N/A,
585,,MH079825-01,Promiscuous and Specific Inhibitors of AmpC Beta-Lactamase (assay without detergent) (AID 585),Secondary,--,NCGC,Promiscuous and Specific Inhibitors of B-lactamase,Brian Shoichet,65,#N/A,
1002,,MH079825-01,Promiscuous and Specific Inhibitors of AmpC Beta-Lactamase (assay with detergent) (AID 584) (AID 1002) (AID 585) (AID 1003),Primary,--,NCGC,Promiscuous and Specific Inhibitors of B-lactamase,Brian Shoichet,65,#N/A,
1003,,MH079825-01,Confirmation Cuvette-Based Assay for Inhibitors of AmpC Beta-Lactamase (assay with detergent) (AID 1003),Secondary,--,NCGC,Promiscuous and Specific Inhibitors of B-lactamase,Brian Shoichet,65,#N/A,
902,,MH079844-01,qHTS Screen for Compounds that Selectively Target Cancer Cells with p53 Mutations: Cytotoxicity of p53ts Cells at the Nonpermissive Temperature (AID 902),Secondary,--,NCGC,Synthetic Lethal Screen for Compounds to Kill Cancer Cells with p53 Mutation,Yi Sun,66,#N/A,
903,,MH079844-01,qHTS Screen for Compounds that Selectively Target Cancer Cells with p53 Mutations: Cytotoxicity of p53 Null Cells at the Permissive Temperature (AID 903),Secondary,--,NCGC,Synthetic Lethal Screen for Compounds to Kill Cancer Cells with p53 Mutation,Yi Sun,66,#N/A,
904,,MH079844-01,qHTS Screen for Compounds that Selectively Target Cancer Cells with p53 Mutations: Cytotoxicity of p53 Null Cells at the Nonpermissive Temperature (AID 904),Secondary,--,NCGC,Synthetic Lethal Screen for Compounds to Kill Cancer Cells with p53 Mutation,Yi Sun,66,#N/A,
924,,MH079844-01,qHTS Screen for Compounds that Selectively Target Cancer Cells with p53 Mutations: Cytotoxicity of p53ts Cells at the Permissive Temperature (AID 924) (AID 903) (AID 902) (AID 904),Primary,--,NCGC,Synthetic Lethal Screen for Compounds to Kill Cancer Cells with p53 Mutation,Yi Sun,66,#N/A,
927,,MH079852-01,qHTS Assay for Inhibitors of Ubiquitin-specific Protease USP2a (an isopeptidase),Primary,--,NCGC,Identification of Compounds that Modulate Human Deubiquitinase Function,Benjamin Nicholson,67,#N/A,
1455,,MH079852-01,qHTS Assay for Inhibitors of Ubiquitin-specific Protease USP2a (an isopeptidase),Primary,--,NCGC,Identification of Compounds that Modulate Human Deubiquitinase Function,Benjamin Nicholson,67,#N/A,
597,,MH079860-01,Quantitative High-Throughput Screen for Regulators of Epigenetic Control,Primary,--,NCGC,High Throughput Screens for Epigenetic Modulators,Elisabeth Martinez,68,#N/A,
990,,MH079860-01,Parental cell counter screen assay for epigenetic modulators,Secondary,Selectivity/Specificity Assay,NCGC,High Throughput Screens for Epigenetic Modulators,Elisabeth Martinez,68,#N/A,
1035,,MH079860-01,HDAC secondary assay for qHTS assay for epigenetic modulators,Secondary,MOA Assay,NCGC,High Throughput Screens for Epigenetic Modulators,Elisabeth Martinez,68,#N/A,
1036,,MH079860-01,NSCLC and matched normal lines,Secondary,Selectivity/Specificity Assay,NCGC,High Throughput Screens for Epigenetic Modulators,Elisabeth Martinez,68,#N/A,
1038,,MH079860-01,NSCLC and matched normal lines,Secondary,Selectivity/Specificity Assay,NCGC,High Throughput Screens for Epigenetic Modulators,Elisabeth Martinez,68,#N/A,
1041,,MH079860-01,Demethylation-Cancer H358 Cells Harboring Methylated CPG Islands (CDH13 and p16 Promoters; RT-PCR),Secondary,MOA Assay,NCGC,High Throughput Screens for Epigenetic Modulators,Elisabeth Martinez,68,#N/A,
1042,,MH079860-01,Demethylation-Cancer H358 Cells Harboring Methylated CPG Islands (CDH13 and p16 Promoters; RT-PCR),Secondary,MOA Assay,NCGC,High Throughput Screens for Epigenetic Modulators,Elisabeth Martinez,68,#N/A,
1043,,MH079860-01,Demethylation-Cancer H358 Cells Harboring Methylated CPG Islands (CDH13 and p16 Promoters; RT-PCR),Secondary,MOA Assay,NCGC,High Throughput Screens for Epigenetic Modulators,Elisabeth Martinez,68,#N/A,
